customer_id,notification_type,title,message,channel,sent_time,delivery_status,read_status,priority,reference_id,read_at,retry_count,expires_at
519,Loan Update,Loan Update,There is an update regarding your loan application or repayment schedule.,App Notification,2026-06-15 18:01:09,Delivered,Unread,High,3560,,0,2026-09-02 18:01:09
478,Fraud Alert,Suspicious Transaction Detected,Suspicious activity has been detected on your account. Please review the transaction immediately.,WhatsApp,2026-03-24 21:18:40,Delivered,Read,Critical,20264,2026-05-24 15:20:37,0,2026-03-31 21:18:40
706,Credit,Credit Alert,Credit Alert: An amount has been credited to your bank account.,SMS,2026-05-29 15:18:49,Delivered,Unread,Low,27652,,0,2026-08-10 15:18:49
63,Debit,Money Debited,Money Debited: A debit transaction has been processed from your bank account.,App Notification,2026-03-26 21:31:43,Pending,Unread,Medium,28338,,1,2026-06-03 21:31:43
192,KYC,KYC Verification Required,Please review your KYC status and complete the required verification if necessary.,E-mail,2026-06-30 18:44:56,Delivered,Read,Medium,4,2026-07-27 15:13:53,0,2026-09-07 18:44:56
276,OTP,OTP Verification,Your one-time password is required to complete the requested banking activity.,WhatsApp,2026-01-10 23:09:37,Delivered,Read,Medium,26850,2026-01-11 16:05:40,0,2026-01-10 23:19:37
40,Debit,Transaction Debit Alert,Transaction Debit Alert: A debit transaction has been processed from your bank account.,E-mail,2026-04-27 10:02:26,Delivered,Read,Medium,32778,2026-07-26 03:19:07,0,2026-07-19 10:02:26
495,Promotional,Banking Offer,Enjoy exclusive banking offers and benefits available for a limited period.,App Notification,2026-06-19 18:47:32,Pending,Read,Low,,2026-06-20 16:37:37,0,2026-06-27 18:47:32
690,Promotional,Special Offer,Enjoy exclusive banking offers and benefits available for a limited period.,App Notification,2026-06-27 21:27:16,Delivered,Read,Low,,2026-08-03 23:53:47,0,2026-07-13 21:27:16
226,OTP,One Time Password,Your one-time password is required to complete the requested banking activity.,App Notification,2026-08-11 05:14:39,Delivered,Read,Medium,23104,2026-08-13 08:22:17,0,2026-08-11 05:24:39
241,Credit,Transaction Credit Alert,Transaction Credit Alert: An amount has been credited to your bank account.,E-mail,2025-09-14 17:38:35,Delivered,Unread,Low,7580,,0,2025-11-18 17:38:35
67,OTP,Login OTP,Your one-time password is required to complete the requested banking activity.,WhatsApp,2026-08-07 17:44:07,Delivered,Read,Medium,3820,2026-08-10 05:45:48,0,2026-08-07 17:54:07
805,Fraud Alert,Fraud Alert,Suspicious activity has been detected on your account. Please review the transaction immediately.,E-mail,2026-04-08 17:29:10,Delivered,Read,High,3990,2026-07-29 11:16:25,0,2026-04-15 17:29:10
214,OTP,One Time Password,Your one-time password is required to complete the requested banking activity.,App Notification,2026-03-01 06:19:53,Delivered,Unread,Medium,27869,,0,2026-03-01 06:29:53
202,Credit,Credit Alert,Credit Alert: An amount has been credited to your bank account.,WhatsApp,2026-07-15 20:00:15,Delivered,Read,Medium,34807,2026-07-30 16:18:43,0,2026-09-27 20:00:15
21,Debit,Debit Alert,Debit Alert: A debit transaction has been processed from your bank account.,SMS,2025-11-02 21:12:58,Delivered,Unread,Medium,3715,,0,2025-12-22 21:12:58
431,Loan Update,Loan Update,There is an update regarding your loan application or repayment schedule.,E-mail,2026-02-23 10:52:50,Delivered,Read,High,3558,2026-06-13 21:54:02,0,2026-05-04 10:52:50
237,Debit,Transaction Debit Alert,Transaction Debit Alert: A debit transaction has been processed from your bank account.,App Notification,2026-05-08 03:15:30,Delivered,Read,Medium,12473,2026-07-26 17:05:43,0,2026-07-04 03:15:30
804,KYC,KYC Verification Required,Please review your KYC status and complete the required verification if necessary.,App Notification,2026-07-02 19:57:27,Delivered,Unread,Low,1341,,0,2026-08-27 19:57:27
785,Debit,Debit Alert,Debit Alert: A debit transaction has been processed from your bank account.,WhatsApp,2026-05-15 01:49:00,Pending,Unread,Medium,5117,,2,2026-06-27 01:49:00
557,Loan Update,Loan Update,There is an update regarding your loan application or repayment schedule.,E-mail,2026-02-26 20:02:53,Delivered,Read,High,3110,2026-04-14 13:46:02,0,2026-04-13 20:02:53
939,OTP,OTP Verification,Your one-time password is required to complete the requested banking activity.,SMS,2025-10-26 16:20:05,Delivered,Read,Medium,17125,2026-01-08 22:03:52,0,2025-10-26 16:30:05
431,Fraud Alert,Suspicious Transaction Detected,Suspicious activity has been detected on your account. Please review the transaction immediately.,App Notification,2025-11-17 08:00:00,Delivered,Read,Critical,23867,2025-12-22 00:29:11,0,2025-11-24 08:00:00
223,Loan Update,Loan Application Update,There is an update regarding your loan application or repayment schedule.,E-mail,2025-12-27 13:40:36,Delivered,Read,Low,2325,2026-07-30 22:30:21,0,2026-03-27 13:40:36
565,Fraud Alert,Suspicious Transaction Detected,Suspicious activity has been detected on your account. Please review the transaction immediately.,App Notification,2026-03-01 07:04:48,Delivered,Read,Critical,9697,2026-05-31 08:17:46,0,2026-03-08 07:04:48
944,Credit,Money Credited,Money Credited: An amount has been credited to your bank account.,WhatsApp,2025-10-28 02:22:23,Failed,Unread,Low,28411,,3,2025-12-23 02:22:23
119,Credit,Transaction Credit Alert,Transaction Credit Alert: An amount has been credited to your bank account.,SMS,2025-10-31 14:35:22,Delivered,Read,Medium,48469,2025-12-17 18:01:54,0,2026-01-07 14:35:22
469,Credit,Money Credited,Money Credited: An amount has been credited to your bank account.,WhatsApp,2025-08-27 20:27:31,Delivered,Unread,Medium,49048,,0,2025-10-18 20:27:31
193,Fraud Alert,Fraud Alert,Suspicious activity has been detected on your account. Please review the transaction immediately.,App Notification,2026-02-17 06:50:12,Delivered,Read,Critical,11554,2026-03-04 01:00:36,0,2026-02-24 06:50:12
40,Debit,Transaction Debit Alert,Transaction Debit Alert: A debit transaction has been processed from your bank account.,SMS,2026-02-10 04:05:40,Delivered,Unread,Low,43715,,0,2026-05-02 04:05:40
221,Promotional,Special Offer,Enjoy exclusive banking offers and benefits available for a limited period.,WhatsApp,2025-12-06 19:06:24,Delivered,Unread,Medium,,,0,2025-12-21 19:06:24
917,Credit,Credit Alert,Credit Alert: An amount has been credited to your bank account.,SMS,2026-01-12 04:59:03,Delivered,Read,Medium,25018,2026-05-18 04:28:26,0,2026-03-03 04:59:03
706,Promotional,Special Offer,Enjoy exclusive banking offers and benefits available for a limited period.,E-mail,2026-03-19 15:39:32,Failed,Unread,Medium,,,2,2026-04-06 15:39:32
98,Promotional,Banking Offer,Enjoy exclusive banking offers and benefits available for a limited period.,SMS,2025-08-23 01:29:05,Delivered,Read,Low,,2025-11-13 14:35:51,0,2025-09-12 01:29:05
982,Promotional,New Banking Benefits,Enjoy exclusive banking offers and benefits available for a limited period.,App Notification,2026-08-08 07:58:53,Delivered,Read,Low,,2026-08-14 20:31:01,0,2026-08-30 07:58:53
432,Credit,Transaction Credit Alert,Transaction Credit Alert: An amount has been credited to your bank account.,WhatsApp,2026-05-02 22:19:16,Delivered,Unread,Medium,14318,,0,2026-06-03 22:19:16
145,Credit,Credit Alert,Credit Alert: An amount has been credited to your bank account.,E-mail,2025-09-30 17:44:20,Delivered,Read,Medium,17978,2026-03-05 19:52:09,0,2025-12-27 17:44:20
469,Credit,Money Credited,Money Credited: An amount has been credited to your bank account.,App Notification,2025-10-12 18:51:52,Delivered,Unread,Medium,41488,,0,2025-12-25 18:51:52
814,Credit,Credit Alert,Credit Alert: An amount has been credited to your bank account.,App Notification,2026-04-07 08:40:52,Delivered,Read,Medium,17882,2026-07-22 03:41:46,0,2026-06-10 08:40:52
647,Fraud Alert,Security Alert,Suspicious activity has been detected on your account. Please review the transaction immediately.,SMS,2026-05-10 11:43:16,Pending,Unread,High,29381,,2,2026-05-17 11:43:16
630,Loan Update,Loan Update,There is an update regarding your loan application or repayment schedule.,SMS,2026-07-08 12:38:09,Delivered,Read,Medium,79,2026-07-25 03:38:27,0,2026-09-26 12:38:09
86,Fraud Alert,Fraud Alert,Suspicious activity has been detected on your account. Please review the transaction immediately.,App Notification,2026-04-27 02:37:56,Pending,Read,Critical,14665,2026-06-09 06:02:02,0,2026-05-04 02:37:56
910,Promotional,New Banking Benefits,Enjoy exclusive banking offers and benefits available for a limited period.,SMS,2025-09-22 12:40:21,Delivered,Read,Medium,,2025-11-11 17:01:46,0,2025-10-01 12:40:21
17,Fraud Alert,Fraud Alert,Suspicious activity has been detected on your account. Please review the transaction immediately.,WhatsApp,2026-05-05 09:09:50,Delivered,Read,Critical,29626,2026-05-06 02:23:17,0,2026-05-12 09:09:50
176,Fraud Alert,Suspicious Transaction Detected,Suspicious activity has been detected on your account. Please review the transaction immediately.,SMS,2026-02-23 04:16:52,Delivered,Read,Critical,28730,2026-03-13 00:12:42,0,2026-03-02 04:16:52
199,Debit,Debit Alert,Debit Alert: A debit transaction has been processed from your bank account.,WhatsApp,2026-06-19 04:54:38,Failed,Unread,Medium,48267,,3,2026-08-19 04:54:38
961,Fraud Alert,Fraud Alert,Suspicious activity has been detected on your account. Please review the transaction immediately.,E-mail,2026-02-21 23:57:42,Delivered,Read,Critical,8505,2026-06-11 21:45:13,0,2026-02-28 23:57:42
233,OTP,Login OTP,Your one-time password is required to complete the requested banking activity.,App Notification,2026-05-09 18:23:11,Delivered,Unread,Low,11160,,0,2026-05-09 18:33:11
983,Credit,Credit Alert,Credit Alert: An amount has been credited to your bank account.,SMS,2026-06-21 00:52:46,Pending,Read,Medium,16065,2026-07-24 01:19:26,2,2026-08-06 00:52:46
516,Debit,Debit Alert,Debit Alert: A debit transaction has been processed from your bank account.,SMS,2026-06-01 06:36:33,Delivered,Read,High,35790,2026-08-05 13:36:13,0,2026-07-05 06:36:33
833,Debit,Debit Alert,Debit Alert: A debit transaction has been processed from your bank account.,E-mail,2026-04-17 20:34:13,Delivered,Read,Medium,47922,2026-05-09 07:42:14,0,2026-07-09 20:34:13
20,Debit,Money Debited,Money Debited: A debit transaction has been processed from your bank account.,App Notification,2026-01-21 23:25:31,Delivered,Read,Medium,7117,2026-05-10 06:55:16,0,2026-04-20 23:25:31
990,Credit,Credit Alert,Credit Alert: An amount has been credited to your bank account.,SMS,2026-02-27 17:32:26,Delivered,Read,Medium,16204,2026-04-25 17:37:25,0,2026-04-17 17:32:26
39,Debit,Transaction Debit Alert,Transaction Debit Alert: A debit transaction has been processed from your bank account.,SMS,2025-08-21 06:25:35,Delivered,Read,Medium,10096,2026-03-11 15:03:25,0,2025-09-24 06:25:35
624,Promotional,Special Offer,Enjoy exclusive banking offers and benefits available for a limited period.,App Notification,2026-02-05 10:29:16,Delivered,Unread,Medium,,,0,2026-02-27 10:29:16
528,Debit,Money Debited,Money Debited: A debit transaction has been processed from your bank account.,App Notification,2026-07-24 09:21:21,Delivered,Unread,Medium,34060,,0,2026-09-11 09:21:21
873,Promotional,Exclusive Offer,Enjoy exclusive banking offers and benefits available for a limited period.,WhatsApp,2026-02-20 11:56:20,Delivered,Read,Medium,,2026-07-08 13:03:13,0,2026-03-13 11:56:20
337,OTP,Login OTP,Your one-time password is required to complete the requested banking activity.,SMS,2026-06-02 20:28:31,Delivered,Read,Medium,6723,2026-08-01 17:38:27,0,2026-06-02 20:38:31
99,Promotional,New Banking Benefits,Enjoy exclusive banking offers and benefits available for a limited period.,SMS,2026-08-13 02:00:09,Pending,Read,Low,,2026-08-17 07:59:02,0,2026-09-04 02:00:09
449,Promotional,Special Offer,Enjoy exclusive banking offers and benefits available for a limited period.,E-mail,2025-12-26 02:00:17,Delivered,Unread,Medium,,,0,2026-01-22 02:00:17
837,Credit,Money Credited,Money Credited: An amount has been credited to your bank account.,WhatsApp,2026-02-05 15:41:09,Delivered,Read,Medium,5632,2026-05-25 01:13:59,0,2026-03-22 15:41:09
707,Loan Update,Loan Application Update,There is an update regarding your loan application or repayment schedule.,App Notification,2025-11-20 18:50:08,Delivered,Read,Medium,2897,2026-01-05 06:24:53,0,2026-02-13 18:50:08
8,Debit,Money Debited,Money Debited: A debit transaction has been processed from your bank account.,SMS,2026-04-27 01:48:07,Delivered,Read,Medium,27480,2026-07-24 09:22:45,0,2026-06-29 01:48:07
843,Debit,Transaction Debit Alert,Transaction Debit Alert: A debit transaction has been processed from your bank account.,App Notification,2025-09-30 03:29:27,Delivered,Read,Low,17299,2026-06-17 20:52:35,0,2025-12-07 03:29:27
